product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
573867,240900419,27.0,Full HD,165.0,IPS,1.0
574936,240901541,23.8,1920x1080,75.0,IPS,5.0
575058,240901664,27.0,2K,144.0,IPS,5.0
575592,240902432,27.0,Full HD,100.0,IPS,1.0
576713,240903516,27.0,Full HD,180.0,IPS,1.0
576715,240903518,24.0,Full HD,180.0,IPS,1.0
576716,240903519,27.0,2K,240.0,IPS,1.0
576926,240903729,24.5,Full HD,180.0,IPS,0.5
576927,240903730,24.5,Full HD,180.0,IPS,0.5
577645,240904490,,,,,
577676,240904521,,1920 x 1080,75.0,VA,8.0
581656,240908497,86.0,,60.0,IPS,8.0
582685,241000213,15.6,Full HD,60.0,IPS,7.0
584466,241001895,27.0,Full HD,280.0,VA,0.5
585680,241002919,27.0,Full HD,180.0,VA,1.0
586242,241003579,27.0,Full HD,120.0,IPS,1.0
586551,241003817,32.0,2K,180.0,IPS,1.0
586550,241003818,27.0,,60.0,IPS,5.0
586553,241003819,27.0,2K,360.0,OLED,0.03
586554,241003820,27.0,2K,180.0,IPS,1.0
587306,241004520,27.0,,160.0,IPS,1.0
587470,241004685,24.5,Full HD,100.0,IPS,1.0
589981,241101874,21.4,Full HD,75.0,VA,8.0
590505,241103022,27.0,,60.0,IPS,5.0
590574,241103252,43.0,,60.0,VA,4.0
590575,241103253,32.0,,240.0,OLED,0.03
590576,241103254,27.0,,60.0,IPS,5.0
591665,241104670,23.8,Full HD,100.0,IPS,5.0
591784,241104790,27.0,2K,180.0,IPS,1.0
591883,241104881,23.8,1920 x 1080,100.0,IPS,1.0
591890,241104888,23.8,1920x1080,75.0,,
591893,241104891,24.0,1920x1080,75.0,IPS,5.0
591895,241104893,23.8,1920x1080,75.0,,
591902,241104900,23.8,1920x1080,75.0,,
592072,241105092,31.5,Full HD,250.0,VA,1.0
592082,241105100,21.5,Full HD,100.0,IPS,8.0
592091,241105107,27.0,Full HD,100.0,IPS,8.0
592098,241105114,27.0,2K,240.0,IPS,5.0
592124,241105140,23.8,Full HD,120.0,IPS,1.0
592131,241105147,27.0,Full HD,120.0,IPS,1.0
592132,241105148,23.8,Full HD,100.0,IPS,1.0
592136,241105152,27.0,2K,75.0,IPS,5.0
594608,241201663,27.0,Full HD,180.0,VA,1.0
594643,241201696,27.0,Full HD,120.0,IPS,1.0
594649,241201700,27.0,2K,100.0,IPS,1.0
594651,241201702,24.5,Full HD,120.0,IPS,1.0
594654,241201706,27.0,2K,100.0,IPS,1.0
594659,241201711,23.8,Full HD,120.0,IPS,1.0
598625,241206528,27.0,Full HD,180.0,VA,5.0
610961,250111505,23.8,Full HD,100.0,IPS,1.0
615012,250115556,34.0,,120.0,VA,1.0
615126,250115754,27.0,Full HD,120.0,IPS,1.0
615666,250116333,23.8,Full HD,200.0,IPS,1.0
615667,250116334,27.0,Full HD,200.0,IPS,1.0
615916,250116585,27.0,2K,180.0,VA,1.0
616045,250116713,21.5,Full HD,100.0,VA,1.0
617851,250203232,23.8,Full HD,100.0,IPS,8.0
618867,250204610,,,,,
618980,250204731,24.0,Full HD,100.0,IPS,5.0
618983,250204733,27.0,,60.0,IPS,5.0
618984,250204734,24.0,Full HD,120.0,IPS,5.0
643831,250204737,27.0,Full HD,100.0,IPS,5.0
618991,250204741,23.8,Full HD,170.0,IPS,1.0
618997,250204747,27.0,,60.0,IPS,5.0
619942,250206344,27.0,Full HD,180.0,IPS,0.5
621559,250301446,27.0,Full HD,180.0,IPS,1.0
621562,250301447,27.0,Full HD,100.0,IPS,5.0
621560,250301448,24.0,Full HD,180.0,IPS,1.0
621733,250301621,27.0,2K,100.0,IPS,4.0
622186,250302098,27.0,2K,120.0,IPS,8.0
622298,250302216,27.0,2K,100.0,IPS,6.0
622355,250302275,34.0,,180.0,VA,1.0
622364,250302281,24.5,Full HD,200.0,IPS,1.0
622370,250302288,27.0,Full HD,180.0,IPS,1.0
622377,250302295,27.0,2K,180.0,IPS,1.0
622384,250302301,27.0,2K,180.0,IPS,1.0
622398,250302317,32.0,2K,170.0,VA,1.0
625344,250305244,23.8,Full HD,120.0,IPS,4.0
627209,250307087,21.45,Full HD,100.0,VA,5.0
627210,250307088,21.45,Full HD,100.0,VA,7.0
627502,250307384,27.0,Full HD,120.0,IPS,5.0
628343,250308217,22.0,1920 x 1080,75.0,IPS,
628352,250308226,24.0,1920 x 1080,75.0,IPS,
629370,250309233,23.8,Full HD,100.0,IPS,5.0
629366,250309235,27.0,Full HD,180.0,IPS,1.0
629367,250309236,44.5,,240.0,OLED,0.03
632381,250400434,21.5,Full HD,75.0,TN,1.0
633945,250401987,23.8,Full HD,146.0,IPS,1.0
633946,250401988,27.0,Full HD,146.0,IPS,1.0
634035,250402077,23.8,Full HD,100.0,IPS,1.0
634723,250402764,23.8,Full HD,100.0,IPS,4.0
638405,250406416,24.5,Full HD,300.0,IPS,0.5
644749,250412660,27.0,,240.0,OLED,0.03
646035,250413909,27.0,2K,480.0,OLED,0.03
647939,250415799,,1920 x 1080,144.0,IPS,1.0
655948,250504133,27.0,2K,100.0,IPS,5.0
658263,250506441,26.5,2K,240.0,OLED,0.03
662122,250510206,27.0,2K,180.0,IPS,1.0
666209,250512188,24.0,Full HD,75.0,VA,5.0
676231,250520204,,3840 x 2160,60.0,VA,4.0
676241,250520214,32.0,3840 x 2160,144.0,IPS,1.0
676254,250520227,23.8,1920 x 1080,180.0,IPS,1.0
